start,stop,fay_wu_h,normalized_fay_wu_h,zeng_e
185,100185,1.695052917433258e-06,0.00875317804013208,-1.6330914454547971
10185,110185,-0.00024469043329856846,-0.9493668916431829,-1.1378651898949894
20185,120185,1.5775708414756002e-05,0.14000456503113615,-1.6620455670579246
30185,130185,4.007793741931279e-06,0.05686408503079995,-1.3984520040414765
40185,140185,7.636412612110773e-06,0.09696891810834253,-1.6299438007898115
50185,150185,2.0774104258266836e-05,0.19264421024709572,-1.7239186581836623
60185,160185,-8.898079778969603e-05,-0.3748620537584684,-1.8508087830481175
70185,170185,2.279627486862342e-05,0.19842393668908817,-1.7725579712990236
80185,180185,5.6819497571645405e-05,0.36022083494733154,-1.7731925397967516
90185,190185,4.634114551945025e-05,0.20572954624787346,-2.0865622671417703
100185,200185,1.8788326412670903e-05,0.22247138536557592,-1.4439838725644285
110185,210185,-0.00012704015947506125,-0.8327459420486304,-1.044162810614354
120185,220185,4.666987498740922e-05,0.14061629151626717,-2.241566569676045
130185,230185,2.1856639905146214e-05,0.11275145113168625,-1.8885522735093658
140185,240185,6.264513518390879e-06,0.06268565582865256,-1.1270267738138855
150185,250185,1.7006429527550415e-05,0.08269186339618001,-1.7085439493866719
160185,260185,1.4484841056724866e-05,0.10363447570251545,-1.2425937306397086
170185,270185,-0.00030544298886378703,-1.0101693856071339,-0.8782020999147355
180185,280185,7.066316301371033e-05,0.2173808816582521,-1.6986205351793389
190185,290185,2.9516352526753374e-05,0.09625987744635363,-1.9420589549297318
200185,300185,4.725770041643451e-05,0.29469393218997336,-1.0477302337784302
210185,310185,3.4679078428815754e-05,0.1848369955849639,-1.2963866909738835
220185,320185,-0.00024744788849025536,-0.8931757874098505,-0.29652115365125936
230185,330185,7.868040427532102e-05,0.2685631110583225,-1.7482484130556706
240185,340185,0.00011031787944520621,0.34716098168898263,-1.7350839249811352
250185,350185,3.7321717857111364e-05,0.13433233277101614,-1.8705869378931255
260185,360185,1.3231565046053103e-05,0.09006352053363062,-1.3729356757745783
