center,garud_h12
6959.0,0.008650000000000001
16008.5,0.048949999999999994
20445.0,0.05115
24921.0,0.016649999999999998
29448.0,0.0567
33978.5,0.0189
38777.0,0.056049999999999996
43408.5,0.012900000000000002
48197.0,0.014600000000000002
53065.0,0.01015
57357.5,0.023700000000000002
61733.0,0.0421
66539.0,0.0163
71291.5,0.019400000000000008
75541.0,0.0161
79835.5,0.017400000000000002
84381.5,0.018000000000000002
89402.5,0.0178
94383.5,0.01745
98734.0,0.014500000000000002
103452.0,0.020250000000000004
108181.5,0.020500000000000004
112729.0,0.0275
117939.0,0.019500000000000003
122902.0,0.023
127350.5,0.013800000000000002
132992.5,0.028700000000000003
138557.0,0.03895
143167.0,0.0428
147989.0,0.021300000000000003
153707.0,0.03955
159204.0,0.0199
163677.5,0.017050000000000003
168291.5,0.01875
173388.5,0.05100000000000001
178453.5,0.015750000000000007
183063.5,0.0237
187725.0,0.013700000000000004
193074.5,0.013049999999999999
198256.5,0.011550000000000001
202654.5,0.014350000000000002
206988.5,0.012650000000000002
211451.0,0.015300000000000005
215961.0,0.017050000000000003
220335.0,0.016250000000000004
224741.5,0.021050000000000006
229124.0,0.015600000000000008
233302.0,0.01105
237429.5,0.00945
241669.5,0.0109
245854.0,0.01835
250043.0,0.042649999999999993
254324.0,0.01835
258773.0,0.012199999999999999
263212.5,0.0167
267869.0,0.020550000000000006
272606.5,0.027649999999999997
277167.0,0.02275
281572.0,0.023450000000000006
286492.5,0.014450000000000001
291348.5,0.01225
295347.5,0.01665
299445.0,0.01525
303553.0,0.02155
307439.5,0.0171
311328.0,0.0217
315603.0,0.01695
320170.5,0.018300000000000004
325085.0,0.024300000000000002
329829.0,0.022300000000000004
334107.5,0.015000000000000001
338113.5,0.019700000000000002
341995.5,0.027400000000000004
345998.0,0.014700000000000001
349840.0,0.0125
353713.5,0.0252
357787.5,0.014300000000000004
365141.5,0.0165
372502.0,0.014150000000000003
376503.0,0.01295
380378.5,0.017599999999999998
384236.0,0.024850000000000004
388083.0,0.020350000000000004
392063.5,0.0177
396002.5,0.014200000000000003
399890.5,0.012550000000000002
403858.0,0.012
407808.0,0.020950000000000003
411793.5,0.01575
416383.0,0.019350000000000003
421527.0,0.00555
426589.5,0.01015
430957.5,0.0092
434802.5,0.01525
438615.5,0.011550000000000001
442341.0,0.01185
446478.0,0.01135
450760.0,0.00795
454743.5,0.01335
458611.5,0.011300000000000001
462899.5,0.0104
467478.5,0.01105
471999.5,0.010750000000000001
476326.0,0.00935
480243.5,0.012650000000000002
484477.5,0.011300000000000001
488802.0,0.009749999999999998
492670.0,0.0088
496398.5,0.0081
500212.5,0.0087
504172.5,0.008400000000000001
508139.0,0.008899999999999998
511917.5,0.010199999999999999
515686.0,0.011300000000000001
519709.0,0.01015
523797.0,0.010000000000000002
527680.0,0.008150000000000001
531398.5,0.008150000000000001
534988.0,0.0069500000000000004
538582.5,0.006700000000000001
542223.0,0.00655
545683.5,0.006700000000000001
548917.0,0.006800000000000001
552046.5,0.00715
555100.5,0.00755
558236.0,0.008
561511.5,0.00825
564649.5,0.008799999999999999
567854.0,0.00855
571171.0,0.00825
574348.5,0.0092
577424.5,0.0087
580656.5,0.007600000000000001
583981.5,0.008150000000000001
587273.5,0.008
590435.5,0.0085
593567.0,0.0081
596771.5,0.00885
599875.0,0.0086
602902.5,0.007549999999999999
605963.0,0.0076
609991.0,0.009149999999999998
614343.0,0.008350000000000002
618164.0,0.006450000000000001
621782.5,0.007150000000000001
624899.0,0.0072
627892.0,0.00715
631018.0,0.006800000000000001
634173.5,0.0078000000000000005
637312.0,0.007549999999999999
640443.5,0.0070999999999999995
644142.0,0.007299999999999999
647881.0,0.00695
651081.0,0.00765
654293.0,0.0077
657573.0,0.008150000000000001
661679.5,0.008
665709.0,0.007450000000000001
668949.5,0.0072000000000000015
672159.5,0.008950000000000001
675222.0,0.007250000000000001
678242.5,0.0086
681375.5,0.006600000000000001
684469.0,0.006600000000000001
687474.0,0.007949999999999999
690651.0,0.007250000000000001
693891.0,0.006450000000000001
697061.5,0.00785
700227.5,0.007700000000000001
703344.5,0.0087
706348.5,0.00835
709337.0,0.006650000000000001
712352.5,0.008700000000000001
715386.5,0.0102
718474.0,0.011
721540.5,0.00945
724553.5,0.0081
727725.0,0.00935
730956.0,0.00655
734126.5,0.0063
737289.0,0.0064
740580.5,0.0098
743792.0,0.00835
747125.5,0.00905
750741.5,0.0060500000000000016
754186.0,0.0064
757506.5,0.00725
760776.0,0.006850000000000002
764066.0,0.0068000000000000005
767301.0,0.006600000000000001
770440.0,0.0081
773458.0,0.008400000000000001
776471.0,0.010400000000000001
779490.5,0.0073999999999999995
782609.0,0.007500000000000001
785990.0,0.006650000000000001
789291.0,0.006250000000000001
792595.5,0.006800000000000001
795882.0,0.006600000000000001
798958.5,0.00655
802138.0,0.005950000000000002
805331.0,0.00685
808394.5,0.006850000000000001
811373.5,0.007200000000000001
814408.5,0.007
817465.5,0.00655
820589.0,0.00785
823708.0,0.0068000000000000005
826718.0,0.008050000000000002
829817.5,0.00655
833009.5,0.007
836398.0,0.0069500000000000004
839834.5,0.00735
843307.5,0.006600000000000001
846603.0,0.00785
849661.5,0.00745
852725.0,0.0071
855799.0,0.006150000000000001
858916.0,0.0063
861960.0,0.006000000000000002
865083.5,0.005850000000000001
868303.0,0.006150000000000001
871587.5,0.006250000000000001
874822.0,0.006250000000000001
877956.5,0.006200000000000001
881623.0,0.006150000000000001
885239.0,0.00655
888320.5,0.006250000000000001
891404.5,0.00655
894486.0,0.0068000000000000005
897510.5,0.006500000000000001
903471.0,0.0076500000000000005
909482.5,0.007449999999999999
912551.5,0.0073
915695.5,0.0068000000000000005
918746.5,0.005800000000000001
921902.0,0.006000000000000002
925151.5,0.005850000000000001
928338.5,0.0060500000000000016
931527.0,0.0063
934621.0,0.0060500000000000016
937695.5,0.00655
940923.5,0.006500000000000002
944125.5,0.00685
947226.0,0.0064
950371.5,0.006150000000000001
953494.0,0.005800000000000001
956738.0,0.005950000000000002
962386.0,0.006750000000000001
967899.0,0.006000000000000002
971039.0,0.005800000000000001
974453.0,0.0056
977741.0,0.006000000000000002
980681.0,0.005950000000000002
983642.0,0.005700000000000001
986595.0,0.0063
989527.0,0.006700000000000001
992525.0,0.006650000000000001
995678.0,0.00635
998740.0,0.006750000000000001
1001691.5,0.0066500000000000005
1004739.0,0.006100000000000001
1007825.0,0.006100000000000001
1010845.0,0.006450000000000001
1013872.5,0.006450000000000001
1016983.5,0.00655
1020020.0,0.005900000000000002
1023028.5,0.00655
1026089.0,0.005900000000000001
1029227.0,0.006300000000000002
1032278.5,0.00625
1035169.0,0.00635
1038179.0,0.005850000000000002
1041316.5,0.00555
1044432.0,0.005950000000000002
