chrom,start,end,center,pi_AFR,theta_w_AFR,tajimas_d_AFR,fay_wu_h_AFR,normalized_fay_wu_h_AFR,segregating_sites_AFR,n_variants_AFR,pi_EUR,theta_w_EUR,tajimas_d_EUR,fay_wu_h_EUR,normalized_fay_wu_h_EUR,segregating_sites_EUR,n_variants_EUR,fst,dxy,da
15,19000000,19999999,19499999,0.00010120072821140564,0.001103793472767686,-2.350716773027916,4.804802861584525e-06,0.0072171294780658,13345.0,25392,7.354180234769198e-05,0.0011079290796345573,-2.416217086253703,-5.912992365137805e-05,-0.08848576028231403,13395.0,25392,0.16787645077490373,0.00010499794815437291,1.7626682874824267e-05
15,20000000,20999999,20499999,0.0007574315359852447,0.005876531933548518,-2.255751617459199,0.00016696992516015253,0.04713827467347248,71048.0,134726,0.0005467782386738735,0.005872727175230986,-2.3484205126397533,-0.0002524802290423084,-0.07132537088262558,71002.0,134726,0.1752070076134805,0.0007906285496459165,0.0001385236623163326
15,21000000,21999999,21499999,0.0006887003924107262,0.005835754849841055,-2.283915552049021,0.00020109692549131024,0.05716950994547301,70555.0,134374,0.0005566503363398346,0.0058431162300641055,-2.3428220479103317,-5.383368578640192e-05,-0.01528501081737903,70644.0,134374,0.11825395730740634,0.0007061844728817856,8.350910850652526e-05
15,22000000,22999999,22499999,0.0006959353895448486,0.00583873248678521,-2.2808627941511137,7.931722101422148e-05,0.022537462835521684,70591.0,133909,0.0005195963582623604,0.0058143324062706015,-2.358101838705173,-0.00024405869922788681,-0.06963863878785484,70296.0,133909,0.16906664311921274,0.0007314255335520903,0.00012365965964850607
15,23000000,23999999,23499999,0.0007582691748063491,0.005859327808982286,-2.254400525537782,0.00014559920929654163,0.04122565467408535,70840.0,134384,0.0005281337446231132,0.005864538673634559,-2.356315999110026,-0.0002847007213905341,-0.08053990467869857,70903.0,134384,0.16022177038847155,0.000765918235355327,0.00012271677564061644
15,24000000,24999999,24499999,0.0006996879591392654,0.005854447792879364,-2.280032335954593,0.0002459214102909625,0.06968939425658269,70781.0,133796,0.0005408167176822004,0.005802008297807291,-2.3481386833476803,-6.106469430340445e-05,-0.017460936814205862,70147.0,133796,0.1294652728665279,0.0007124958018071139,9.224346339639518e-05
15,25000000,25999999,25499999,0.0007815651630638445,0.005812099178562485,-2.2412956570008746,4.5158328451772355e-05,0.012890229638440645,70269.0,133968,0.0005696026533036937,0.0058558538992141045,-2.3376317110429867,-0.0003581585843800311,-0.10147088171634795,70798.0,133968,0.117998965236541,0.0007659672512336416,9.038334304987314e-05
15,26000000,26999999,26499999,0.0007983876550603354,0.0058963828465095555,-2.2388895895652605,9.934357838736772e-05,0.027951870394430856,71288.0,134934,0.0005357893844624397,0.005858666111883585,-2.3526981506020324,-0.0004138389306547879,-0.11718956126948471,70832.0,134934,0.15177084412953987,0.0007864484675441245,0.00011935994778275299
15,27000000,27999999,27499999,0.0007519008575061112,0.005839228759609236,-2.2560701257152562,0.00011209114621052994,0.031847250032596794,70597.0,134459,0.00043411205085788367,0.005854116944330014,-2.3974899177352236,-0.00047993462801671925,-0.13601192114721503,70777.0,134459,0.2175541068475331,0.0007578881292250281,0.000164881675043034
15,28000000,28999999,28499999,0.0006811325023954576,0.0058123473149744986,-2.2860552245278076,-2.9090600106288617e-05,-0.008303418713633715,70272.0,133814,0.0004733294650662488,0.005830709409463458,-2.379300613969241,-0.00040662893602040596,-0.11569987888711065,70494.0,133814,0.3179493182136951,0.0008463168487976967,0.00026908586506685253
