chrom,start,end,center,pi_AFR,theta_w_AFR,tajimas_d_AFR,fay_wu_h_AFR,normalized_fay_wu_h_AFR,segregating_sites_AFR,n_variants_AFR,pi_EUR,theta_w_EUR,tajimas_d_EUR,fay_wu_h_EUR,normalized_fay_wu_h_EUR,segregating_sites_EUR,n_variants_EUR,fst,dxy,da
1,19800000,19900000,19850000,0.0004018796571845584,0.005194317030465395,-2.3858251657914287,1.0847785253827026e-05,0.003459412992182399,6280.0,12632,0.0003094849559015418,0.005217476405760476,-2.4325225914760185,-0.00018356971359316407,-0.0582818815486007,6308.0,12632,0.14625261846341422,0.000416613057018007,6.093075047495752e-05
1,19900000,20000000,19950000,0.0006101266129221241,0.005843606659273921,-2.316297013426787,3.7200195313939585e-05,0.010547151566878507,7065.0,14126,0.0004259323321573058,0.005861803311291485,-2.398415304963724,-0.0004077289316213539,-0.11524265242079391,7087.0,14126,0.18210010626004297,0.0006333653745460552,0.00011533590200634038
1,20000000,20100000,20050000,0.0006322919410294051,0.005812176078516311,-2.304956479251776,5.232435946357697e-05,0.014915320454286238,7027.0,14053,0.000350562648272463,0.005813003199062564,-2.430343683080886,-0.0005357224719327625,-0.15268867475911468,7028.0,14053,0.2400529754077764,0.0006466599364800704,0.00015523264182913486
1,20100000,20200000,20150000,0.0008985961453534818,0.005950305209740546,-2.1958079835558157,0.0001263559823438318,0.035183509117982875,7194.0,14266,0.0006769503286372854,0.005875864360577784,-2.288383332203036,-0.00020022668399887066,-0.05645789742411352,7104.0,14266,0.1864053528519618,0.0009682625614081247,0.00018048932441273947
1,20200000,20300000,20250000,0.0007786731214452321,0.005765030207379895,-2.2369607588703233,0.00029275979702597643,0.08413407838165718,6970.0,14109,0.0005932707735457285,0.0059577492946568215,-2.3288487581141712,-6.384795680358543e-05,-0.017756123778122596,7203.0,14109,0.14145091624805298,0.0007989897846000974,0.00011301783710461877
1,20300000,20400000,20350000,0.0006815798109841114,0.005889098289317831,-2.2870267395860946,-1.635557318374424e-05,-0.004601431110389853,7120.0,14343,0.0005135227122511132,0.00596602050011935,-2.3637827584119053,-0.000303697882930864,-0.08434149405719593,7213.0,14343,0.22931405061537738,0.0007753498842100809,0.00017779862259246883
1,20400000,20500000,20450000,0.0007231239948739553,0.00585187786473645,-2.266741998677859,4.01985292532818e-05,0.011381166335708473,7075.0,14202,0.00043688246551263894,0.0058932338920490955,-2.394629311528435,-0.0006447210538345925,-0.18125691565599417,7125.0,14202,0.26173787120212444,0.0007856331884960823,0.00020562995830278227
1,20500000,20600000,20550000,0.000786717809586117,0.005853532105828956,-2.2387347305933507,0.00016294751429115522,0.046121325320089696,7077.0,14237,0.0005742350132201267,0.0059254915933529585,-2.335738525199858,-0.00020070726533268684,-0.056120124206414115,7164.0,14237,0.14719892140500965,0.0007979309929161002,0.0001174545815129801
1,20600000,20700000,20650000,0.0008356832661606854,0.005865938914022749,-2.217887055445965,0.0002161019796758144,0.06103720297128719,7092.0,14175,0.0006412453555695496,0.0058609761907452325,-2.3033745103921577,-0.00017827109647899802,-0.05039458177114983,7086.0,14175,0.14887655300739217,0.0008676347872621014,0.00012917047639698212
1,20700000,20800000,20750000,0.0006921103220072266,0.005916393267344176,-2.2838185337223713,0.0001605640074480688,0.044964533927306705,7153.0,14179,0.0005482897236552278,0.0058146574401550695,-2.3424414616478915,-0.00021956911417517723,-0.06256260517341207,7030.0,14179,0.15558609143208355,0.0007344739547020954,0.00011427393187086935
1,20800000,20900000,20850000,0.0007546759662536802,0.005930454316630475,-2.2572571071020193,0.00028620190100701876,0.07995856686126315,7170.0,14162,0.0004824422085360751,0.005827891368895116,-2.3722246153010156,-0.00023130134478547426,-0.06575607785522561,7046.0,14162,0.1488109118199992,0.0007266999729961023,0.00010814088560122769
1,20900000,21000000,20950000,0.0007908554078481036,0.005930454316630475,-2.2414785524303245,0.0003485990845788588,0.09739097858539468,7170.0,14136,0.0006503756897548958,0.005792325185406242,-2.2959069200222415,5.3265104647037515e-05,0.015235441443958707,7003.0,14136,0.10442771228345842,0.0008046425271141044,8.402697831260469e-05
1,21000000,21100000,21050000,0.0007194253009570197,0.005777437015573689,-2.264240098529354,0.00032341904759847234,0.09274572048819617,6985.0,14145,0.0006482001184391838,0.0058684202756615084,-2.3006723060692083,0.00019053297820577106,0.05379261228467956,7095.0,14145,0.04228547981332931,0.0007140047428380961,3.0192033139990997e-05
